index,T,P,m
unit,°C,mbar,nC
1,22.3,917.9,2.808
2,22.3,917.9,2.806
3,22.3,917.9,2.804
4,22.3,917.8,2.803
5,22.3,917.8,2.803
6,22.3,917.7,2.801
7,22.3,917.7,2.801
