index,T,P,m
unit,°C,mbar,nC
1,22.5,918.7,2.807
2,22.5,918.8,2.805
3,22.4,918.7,2.805
4,22.3,918.6,2.803
5,22.3,918.6,2.8
6,22.2,918.5,2.799
7,22.2,918.5,2.798
